BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum
O2.UC26.2__NODE_245_length_65280_cov_19.1839__52086__nrps__ANTISMASH__0_52086,2.74340596692,-,-,-,0.893329066513694,NZ_FMMH01000009,Clostridioides difficile,Firmicutes
V1.UC26.4__NODE_1414_length_26787_cov_21.6012__26787__other__ANTISMASH__0_26787,3.24924592703,-,-,-,0.835897752783456,NZ_LNKF01000006,Bifidobacterium adolescentis,Actinobacteria
V1.CD7.4__NODE_615_length_36195_cov_6.48605__23288__lantipeptide__ANTISMASH__12907_36195,2.87991906748,-,-,-,0.164459502279467,NZ_CDPW01000001,Bifidobacterium pseudocatenulatum,Actinobacteria
O2.UC30.0__NODE_66_length_65351_cov_3.70009__25017__lantipeptide__ANTISMASH__0_25017,2.41096549477,-,-,-,0.0984151067375474,N/A,N/A,Unassigned
O2.UC51.2__NODE_4995_length_8991_cov_2.1833__8991__transatpks__ANTISMASH__0_8991,0,-,-,-,NaN,N/A,N/A,Unassigned
O2.UC27.0__NODE_249_length_68379_cov_7.85042__10984__microcin__ANTISMASH__0_10984,3.95593307129,-,-,-,0.734458891594938,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes
V1.UC47.0__NODE_165_length_68678_cov_4.38336__33737__nrps__ANTISMASH__0_33737,2.94106564759,-,-,-,0.0172578683819127,N/A,N/A,Unassigned
V1.UC23.1__NODE_105_length_72166_cov_6.22675__36027__nrps__ANTISMASH__0_36027,2.9437925677,UC,2.68971590378,0.00776127334052,0.00776127334051555,N/A,N/A,Unassigned
V1.UC35.4__NODE_3322_length_15152_cov_8.69689__15152__lantipeptide__ANTISMASH__0_15152,2.08046999937,-,-,-,0.356672031948739,N/A,N/A,Unassigned
O2.UC60.2__NODE_1118_length_18710_cov_8.99416__18710__arylpolyene__ANTISMASH__0_18710,2.69986148919,-,-,-,0.563922257375829,N/A,N/A,Unassigned
V1.CD6.4__NODE_98_length_80838_cov_8.05692__10491__microcin__ANTISMASH__70347_80838,2.70468496419,-,-,-,0.0139250616788644,N/A,N/A,Unassigned
V1.UC27.0__NODE_784_length_25415_cov_5.89278__25415__other__ANTISMASH__0_25415,0,-,-,-,NaN,N/A,N/A,Unassigned
V1.UC11.0__NODE_253_length_46952_cov_2.82809__23073__lantipeptide__ANTISMASH__23879_46952,2.31458684448,-,-,-,0.243456016785024,NZ_BAIJ02000157,Clostridiales bacterium VE202-27,Firmicutes
V1.CD42.0__NODE_1823_length_17721_cov_4.4267__17721__lantipeptide__ANTISMASH__0_17721,3.00773759329,-,-,-,0.175759836002913,N/A,N/A,Unassigned
V1.UC10.2__NODE_842_length_29380_cov_2.99956__26624__lantipeptide__ANTISMASH__2756_29380,2.38585043946,-,-,-,0.356672031948739,N/A,N/A,Unassigned
V1.UC33.0__NODE_2561_length_14432_cov_3.06823__14432__nrps__ANTISMASH__0_14432,2.29609425454,-,-,-,0.302598258962756,N/A,N/A,Unassigned
O2.UC30.2__NODE_2_length_211583_cov_7.76117__43179__nrps__ANTISMASH__168404_211583,3.68460110699,UC,3.04568961837,0.00575106857336,0.00575106857335959,N/A,N/A,Unassigned
O2.UC41.0__NODE_368_length_45101_cov_2.3155__45101__nrps-t1pks__ANTISMASH__0_45101,1.9030792143,-,-,-,0.411300459413516,N/A,N/A,Unassigned
V1.UC45.0__NODE_970_length_21406_cov_2.56283__21406__lantipeptide__ANTISMASH__0_21406,3.19348710688,-,-,-,0.0325014810320901,N/A,N/A,Unassigned
V1.UC46.0__NODE_1616_length_21451_cov_2.18274__21451__arylpolyene__ANTISMASH__0_21451,2.72913545749,-,-,-,0.0807328430417522,NZ_JH376616,Paraprevotella clara YIT 11840,Bacteroidetes
V1.CD22.0__NODE_2278_length_17490_cov_7.55417__17490__nrps__ANTISMASH__0_17490,0,-,-,-,NaN,N/A,N/A,Unassigned
O2.UC4.2__NODE_288_length_56103_cov_2.23144__14134__bacteriocin__ANTISMASH__41969_56103,1.7047550529,-,-,-,0.35018544944539,NZ_NBEO01000036,Lactobacillus salivarius,Firmicutes
V1.UC2.4__NODE_3111_length_7415_cov_2.68125__7415__nrps__ANTISMASH__0_7415,3.53152869781,-,-,-,0.109993433714835,NZ_CYZN01000002,Blautia wexlerae,Firmicutes
V1.UC49.0__NODE_1130_length_23962_cov_5.09148__19088__lantipeptide__ANTISMASH__4874_23962,2.00041903052,-,-,-,0.411300459413516,NZ_CP018937,Bacteroides fragilis,Bacteroidetes
O2.UC51.2__NODE_9084_length_5170_cov_1.45806__5170__bacteriocin__ANTISMASH__0_5170,1.68106686894,-,-,-,0.310984456208192,N/A,N/A,Unassigned
O2.UC47.2__NODE_1745_length_13495_cov_1.92522__13495__lantipeptide__ANTISMASH__0_13495,1.7929451435,-,-,-,0.0113124424705025,NZ_MCGI01000004,Eisenbergiella tayi,Firmicutes
V1.UC4.5__NODE_5325_length_10091_cov_1.94769__10091__arylpolyene__ANTISMASH__0_10091,1.7584005585,-,-,-,0.478253695985279,N/A,N/A,Unassigned
O2.UC4.2__NODE_7415_length_5584_cov_2.80195__5584__bacteriocin__ANTISMASH__0_5584,3.16330971747,-,-,-,0.144644883092209,NZ_NCXC01000038,Lactococcus lactis,Firmicutes
O2.UC59.2__NODE_257_length_58500_cov_2.09873__46075__nrps__ANTISMASH__7835_53910,1.70302593469,-,-,-,0.684274002857647,N/A,N/A,Unassigned
O2.UC52.2__NODE_148_length_58230_cov_4.56835__45008__nrps__ANTISMASH__13222_58230,2.42209858842,-,-,-,0.272163476922754,N/A,N/A,Unassigned
V1.UC11.5__NODE_1744_length_22693_cov_3.34424__22693__t2pks__ANTISMASH__0_22693,1.38810139996,-,-,-,0.563922257375829,N/A,N/A,Unassigned
V1.UC53.0__NODE_167_length_69693_cov_6.58503__43358__arylpolyene__ANTISMASH__4123_47481,2.37994191382,-,-,-,0.411300459413516,N/A,N/A,Unassigned
O2.UC3.0__NODE_245_length_55949_cov_3.1289__41008__nrps__ANTISMASH__14941_55949,2.96708520677,-,-,-,0.0157472890066486,N/A,N/A,Unassigned
V1.UC26.0__NODE_613_length_32718_cov_1.93405__14591__bacteriocin__ANTISMASH__18127_32718,1.6218852578,-,-,-,0.478253695985279,N/A,N/A,Unassigned
V1.UC21.4__NODE_2043_length_17275_cov_2.89623__17275__nrps__ANTISMASH__0_17275,1.82359535324,-,-,-,0.563922257375829,N/A,N/A,Unassigned
O2.UC29.0__NODE_1779_length_11624_cov_2.33339__11624__nrps__ANTISMASH__0_11624,2.56783760829,-,-,-,0.209945414619177,N/A,N/A,Unassigned
O2.UC17.2__NODE_3263_length_9787_cov_2.40423__9787__nrps__ANTISMASH__0_9787,3.04674094672,-,-,-,0.275200595666702,N/A,N/A,Unassigned
O2.UC1.2__NODE_801_length_26395_cov_4.48049__26395__nrps__ANTISMASH__0_26395,1.93946415951,-,-,-,0.478253695985279,N/A,N/A,Unassigned
O2.UC16.2__NODE_664_length_20687_cov_4.39148__20687__nrps__ANTISMASH__0_20687,3.2683707970700002,-,-,-,0.0521327457326809,NZ_DS480328,Clostridium sp. L2-50,Firmicutes
V1.UC32.0__NODE_801_length_42245_cov_5.21588__25386__arylpolyene__ANTISMASH__16859_42245,1.73194798484,-,-,-,0.478253695985279,N/A,N/A,Unassigned
O2.UC35.2__NODE_168_length_74603_cov_3.88159__41143__resorcinol__ANTISMASH__24939_66082,1.90517661329,-,-,-,0.411300459413516,N/A,N/A,Unassigned
O2.UC19.2__NODE_4651_length_5029_cov_0.976478__5029__lantipeptide__ANTISMASH__0_5029,1.69152148191,-,-,-,0.0902237990494406,NZ_AKCB01000002,Coprobacillus cateniformis,Firmicutes
V1.CD38.0__NODE_1740_length_20167_cov_3.43158__20167__ladderane__ANTISMASH__0_20167,0,-,-,-,NaN,N/A,N/A,Unassigned
O2.UC26.2__NODE_1221_length_15811_cov_8.18767__15811__sactipeptide__ANTISMASH__0_15811,2.28564612568,-,-,-,0.285424072111679,NZ_NIHM01000012,Ruminococcus gnavus,Firmicutes
V1.UC57.0__NODE_4_length_145066_cov_6.88561__43646__arylpolyene__ANTISMASH__32123_75769,0,-,-,-,NaN,N/A,N/A,Unassigned
V1.UC26.4__NODE_6849_length_5803_cov_1.889__5803__resorcinol__ANTISMASH__0_5803,1.31647062588,-,-,-,0.563922257375829,N/A,N/A,Unassigned
V1.CD15.3__NODE_361_length_64571_cov_6.16489__13418__lantipeptide__ANTISMASH__51153_64571,3.26026893527,CD,2.85198339676,0.00294975983648,0.00294975983647822,NZ_GG698591,Blautia hansenii DSM 20583,Firmicutes
O2.UC52.2__NODE_7863_length_5213_cov_1.95929__5213__resorcinol__ANTISMASH__0_5213,3.28043829228,-,-,-,0.0369187766651577,NZ_JH724079,Bacteroides caccae CL03T12C61,Bacteroidetes
O2.UC2.2__NODE_1197_length_23130_cov_3.23476__23130__lantipeptide__ANTISMASH__0_23130,2.22558074135,-,-,-,0.162821822751433,N/A,N/A,Unassigned
V1.UC57.0__NODE_1265_length_18401_cov_3.43459__10343__bacteriocin__ANTISMASH__8058_18401,2.63406812943,-,-,-,0.162821822751433,N/A,N/A,Unassigned
V1.UC45.0__NODE_1848_length_12252_cov_2.39911__12252__lantipeptide__ANTISMASH__0_12252,3.06618803027,-,-,-,0.22330700337488,NZ_GL622638,Bifidobacterium longum,Actinobacteria
V1.UC56.0__NODE_135_length_68096_cov_17.4957__5704__bacteriocin__ANTISMASH__62392_68096,2.489032312,-,-,-,0.563922257375829,NZ_AZCM01000040,Lactobacillus amylovorus DSM 20531,Firmicutes
O2.UC58.0__NODE_5809_length_6124_cov_1.74905__6124__bacteriocin__ANTISMASH__0_6124,3.59117591567,-,-,-,0.0458203860782504,N/A,N/A,Unassigned
V1.CD25.4__NODE_39_length_169582_cov_10.1708__54510__nrps-t1pks__ANTISMASH__44664_99174,2.80246882458,-,-,-,0.0381183144797772,N/A,N/A,Unassigned
V1.UC49.1__NODE_123_length_123881_cov_17.5067__43726__nrps__ANTISMASH__25588_69314,2.21754655987,-,-,-,0.563922257375829,N/A,N/A,Unassigned
O2.UC41.0__NODE_722_length_29497_cov_2.19999__29497__other__ANTISMASH__0_29497,3.04602181441,UC,2.75871107139,0.000423024296026,0.000423024296026048,NZ_CVRS01000048,Roseburia inulinivorans,Firmicutes
O2.UC29.2__NODE_1828_length_12355_cov_2.1278__12355__arylpolyene__ANTISMASH__0_12355,3.05001301584,-,-,-,0.164860473760003,NZ_PJKT01000001,Akkermansia muciniphila,Verrucomicrobia
V1.UC35.4__NODE_1400_length_28887_cov_2.76009__25257__other__ANTISMASH__3630_28887,1.8934332337,-,-,-,0.209945414619177,N/A,N/A,Unassigned
V1.UC52.1__NODE_6135_length_7681_cov_2.82455__7681__bacteriocin__ANTISMASH__0_7681,2.4655667752,-,-,-,0.14353222089636,N/A,N/A,Unassigned
V1.UC50.1__NODE_3346_length_11882_cov_2.8429__11882__nrps__ANTISMASH__0_11882,3.42630916879,-,-,-,0.148857629762521,NZ_JH594448,Eubacterium sp. 3_1_31,Firmicutes
O2.UC27.0__NODE_4704_length_6159_cov_1.54669__6159__other__ANTISMASH__0_6159,1.74279971498,-,-,-,0.411300459413516,N/A,N/A,Unassigned
V1.UC51.0__NODE_1291_length_20665_cov_4.9788__20665__microcin__ANTISMASH__0_20665,3.80049916958,-,-,-,0.861892460088543,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes
V1.UC26.0__NODE_5833_length_6477_cov_1.79633__6477__nrps__ANTISMASH__0_6477,1.57864062845,-,-,-,0.478253695985279,N/A,N/A,Unassigned
V1.CD10.0__NODE_1290_length_5616_cov_2.62938__5616__bacteriocin__ANTISMASH__0_5616,2.77610091436,-,-,-,0.171637878093567,NZ_CP015902,Lactococcus lactis subsp. lactis (Streptococcus lactis),Firmicutes
V1.CD38.0__NODE_1431_length_23646_cov_2.60192__23646__lantipeptide__ANTISMASH__0_23646,0,-,-,-,NaN,N/A,N/A,Unassigned
O2.UC54.2__NODE_1203_length_15277_cov_1.84805__15277__bacteriocin__ANTISMASH__0_15277,0,-,-,-,NaN,N/A,N/A,Unassigned
O2.UC29.0__NODE_196_length_47862_cov_8.40492__26864__nrps__ANTISMASH__20998_47862,2.66002018934,-,-,-,0.356672031948739,N/A,N/A,Unassigned
V1.UC52.0__NODE_5901_length_6693_cov_2.53284__6693__other__ANTISMASH__0_6693,2.87788196466,UC,2.56553440289,0.00526060320706,0.00526060320705869,NZ_CVRS01000048,Roseburia inulinivorans,Firmicutes
O2.UC55.2__NODE_3247_length_10021_cov_1.37086__10021__bacteriocin__ANTISMASH__0_10021,2.97398388647,-,-,-,0.0592679600148888,NZ_DS996841,Holdemanella biformis DSM 3989,Firmicutes
V1.UC55.0__NODE_120_length_117028_cov_26.7167__22853__lantipeptide__ANTISMASH__65790_88643,2.94478002045,-,-,-,0.112611208963503,N/A,N/A,Unassigned
O2.UC29.2__NODE_1079_length_18226_cov_2.84954__18226__nrps__ANTISMASH__0_18226,2.39926053186,-,-,-,0.23881588778877,N/A,N/A,Unassigned
O2.UC40.0__NODE_108_length_71340_cov_3.29287__43402__other__ANTISMASH__13356_56758,2.64563777834,-,-,-,0.0673330290671222,N/A,N/A,Unassigned
V1.UC51.4__NODE_1814_length_18564_cov_3.45108__18564__other__ANTISMASH__0_18564,2.32409294775,-,-,-,0.0673330290671222,N/A,N/A,Unassigned
V1.UC30.0__NODE_216_length_56051_cov_2.15803__36381__other__ANTISMASH__0_36381,2.79266484162,-,-,-,0.0361080891372743,NZ_KI271108,Eubacterium ramulus ATCC 29099,Firmicutes
V1.CD36.0__NODE_441_length_59544_cov_19.0451__25820__nrps__ANTISMASH__33724_59544,3.47266995271,-,-,-,0.0242284874956444,NZ_CYYV01000008,Fusicatenibacter saccharivorans,Firmicutes
O2.UC55.0__NODE_3960_length_9546_cov_1.74365__9546__lantipeptide__ANTISMASH__0_9546,3.40275656616,-,-,-,0.48130529178535,N/A,N/A,Unassigned
V1.UC2.0__NODE_5137_length_6157_cov_1.01917__6157__other__ANTISMASH__0_6157,3.00667838368,-,-,-,0.0220835626297115,N/A,N/A,Unassigned
V1.UC44.0__NODE_1487_length_17821_cov_3.3899__17821__resorcinol__ANTISMASH__0_17821,3.1736406483,-,-,-,0.0663210707150905,N/A,N/A,Unassigned
O2.UC44.2__NODE_1454_length_17419_cov_4.14449__16963__bacteriocin__ANTISMASH__456_17419,3.74658791517,UC,3.37981857437,0.000868297371374,0.000868297371373749,NC_012781,Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Firmicutes
V1.UC17.2__NODE_753_length_29863_cov_6.00013__26122__nrps__ANTISMASH__3741_29863,2.09406374509,-,-,-,0.684274002857647,N/A,N/A,Unassigned
V1.UC40.0__NODE_1958_length_15724_cov_1.85309__15724__lantipeptide__ANTISMASH__0_15724,2.75183429426,-,-,-,0.33723351145396,NZ_JEOD01000003,Bifidobacterium pseudocatenulatum IPLA36007,Actinobacteria
V1.UC2.4__NODE_3662_length_6596_cov_2.1353__6596__nrps__ANTISMASH__0_6596,2.88004437714,UC,2.61927922512,0.00578946197626,0.00578946197626243,N/A,N/A,Unassigned
V1.UC29.0__NODE_3334_length_7067_cov_1.16415__7067__lantipeptide__ANTISMASH__0_7067,3.04987512201,UC,2.76518422063,0.00757787616588,0.00757787616588418,NZ_LT629944,Angelakisella massiliensis,Firmicutes
V1.UC13.3__NODE_2408_length_11861_cov_2.35185__11861__nrps__ANTISMASH__0_11861,2.26862663627,-,-,-,0.563922257375829,NZ_NFJP01000006,Gordonibacter sp. An230,Actinobacteria
O2.UC41.0__NODE_6980_length_5114_cov_1.09409__5114__other__ANTISMASH__0_5114,2.41573717915,-,-,-,0.0592679600148888,N/A,N/A,Unassigned
V1.UC42.0__NODE_456_length_38911_cov_2.97241__33923__other__ANTISMASH__0_33923,2.73377334318,-,-,-,0.0867565402227687,NZ_BCYB01000069,Bifidobacterium pseudocatenulatum,Actinobacteria
V1.UC27.0__NODE_1524_length_16793_cov_1.92448__16793__nrps__ANTISMASH__0_16793,3.93019005983,UC,3.37637898086,0.00228050316623,0.00228050316623485,NZ_CYYW01000002,Eubacterium rectale,Firmicutes
V1.UC61.0__NODE_228_length_65988_cov_4.67854__26289__nrps__ANTISMASH__39699_65988,3.66740849364,CD,3.40625773897,0.000785649881894,0.000785649881893881,NZ_KE136816,Escherichia coli KTE38,Proteobacteria
O2.UC13.2__NODE_72_length_114245_cov_4.40785__47446__nrps__ANTISMASH__37570_85016,2.92874772284,UC,2.66033254583,0.00776127334052,0.00776127334051555,N/A,N/A,Unassigned
V1.UC38.0__NODE_47_length_151300_cov_4.25257__43627__arylpolyene__ANTISMASH__77428_121055,2.38091408387,-,-,-,0.111611760426205,N/A,N/A,Unassigned
V1.UC30.0__NODE_2424_length_11483_cov_3.32482__11483__nrps__ANTISMASH__0_11483,0,-,-,-,NaN,N/A,N/A,Unassigned
V1.CD19.0__NODE_49_length_118665_cov_4.37571__37886__nrps__ANTISMASH__0_37886,2.39671735855,-,-,-,0.310984456208192,NZ_CZBP01000007,Blautia obeum,Firmicutes
O2.UC40.0__NODE_83_length_78824_cov_4.70559__41221__arylpolyene__ANTISMASH__24070_65291,3.26538223028,-,-,-,0.368614958852852,NZ_KQ968681,Bacteroides intestinalis,Bacteroidetes
O2.UC53.0__NODE_26_length_104423_cov_57.3051__41140__resorcinol__ANTISMASH__56550_97690,3.78650071048,-,-,-,0.285343989682966,NZ_CZBK01000007,Bacteroides vulgatus,Bacteroidetes
V1.UC31.4__NODE_1486_length_21753_cov_6.89202__21753__lantipeptide__ANTISMASH__0_21753,3.00564532754,-,-,-,0.133211548639355,N/A,N/A,Unassigned
O2.UC27.0__NODE_4979_length_5846_cov_1.40597__5846__lantipeptide__ANTISMASH__0_5846,1.99693842753,-,-,-,0.272163476922754,NZ_AGBV01000006,Streptococcus salivarius M18,Firmicutes
V1.UC61.0__NODE_2273_length_12464_cov_2.76678__12464__t1pks__ANTISMASH__0_12464,3.63416814901,CD,3.3769598523,0.000157959025535,0.000157959025535031,NZ_KE702322,Escherichia coli UMEA 3304-1,Proteobacteria
V1.UC55.4__NODE_1536_length_32221_cov_5.91283__32221__nrps__ANTISMASH__0_32221,3.24778924691,UC,2.83339576664,0.000389366509839,0.000389366509839088,N/A,N/A,Unassigned
V1.CD19.0__NODE_742_length_36363_cov_28.7744__34534__arylpolyene__ANTISMASH__0_34534,0,-,-,-,NaN,NZ_NFKD01000008,Bacteroides sp. An19,Bacteroidetes
V1.UC5.3__NODE_744_length_45534_cov_2.91706__22931__lantipeptide__ANTISMASH__8359_31290,2.28892335139,-,-,-,0.0616437370768526,N/A,N/A,Unassigned
V1.UC46.0__NODE_3556_length_11764_cov_6.40866__11764__resorcinol__ANTISMASH__0_11764,0.8053498001,-,-,-,0.684274002857647,N/A,N/A,Unassigned
O2.UC51.2__NODE_1_length_706354_cov_8.29006__47441__nrps__ANTISMASH__301598_349039,1.33736616791,-,-,-,0.684274002857647,N/A,N/A,Unassigned
V1.UC11.5__NODE_506_length_56838_cov_10.9783__22643__lantipeptide__ANTISMASH__1275_23918,2.31952562166,-,-,-,0.243456016785024,NZ_KE992698,Clostridium sp. KLE 1755,Firmicutes
O2.UC56.2__NODE_4059_length_7220_cov_2.2067__7220__resorcinol__ANTISMASH__0_7220,2.75676956767,-,-,-,0.267100561908981,N/A,N/A,Unassigned
V1.UC43.0__NODE_2271_length_18453_cov_2.32563__18453__lantipeptide__ANTISMASH__0_18453,2.34865814152,-,-,-,0.0867565402227687,N/A,N/A,Unassigned
V1.UC26.0__NODE_178_length_65073_cov_4.22257__22853__lantipeptide__ANTISMASH__15309_38162,3.57745284038,-,-,-,0.606417541713592,N/A,N/A,Unassigned
V1.UC55.0__NODE_1631_length_26730_cov_13.1098__24132__lantipeptide__ANTISMASH__2598_26730,3.46135573168,-,-,-,0.842825731568538,N/A,N/A,Unassigned
V1.UC2.0__NODE_2950_length_10169_cov_1.06565__10169__nrps__ANTISMASH__0_10169,1.2984574595,-,-,-,0.563922257375829,NZ_ALYV01000062,Streptococcus mutans B24Sm2,Firmicutes
V1.CD16.0__NODE_742_length_26577_cov_3.32995__26577__resorcinol__ANTISMASH__0_26577,0,-,-,-,NaN,N/A,N/A,Unassigned
V1.CD16.0__NODE_309_length_43538_cov_20.8164__10189__bacteriocin__ANTISMASH__0_10189,2.58918232626,-,-,-,0.327455107911981,N/A,N/A,Unassigned
V1.CD42.0__NODE_990_length_28192_cov_30.5339__28192__ladderane__ANTISMASH__0_28192,0,-,-,-,NaN,N/A,N/A,Unassigned
V1.UC38.0__NODE_3016_length_10402_cov_1.50333__10402__t2pks__ANTISMASH__0_10402,2.54922450635,-,-,-,0.0896194357330962,N/A,N/A,Unassigned
O2.UC35.2__NODE_19_length_172972_cov_8.56981__23150__lantipeptide__ANTISMASH__61624_84774,3.37455947941,-,-,-,0.347845303357389,NZ_CZAW01000034,Blautia wexlerae,Firmicutes
V1.UC47.0__NODE_1080_length_24134_cov_1.59201__21073__other__ANTISMASH__0_21073,1.7964380634,-,-,-,0.23881588778877,N/A,N/A,Unassigned
V1.UC27.0__NODE_1555_length_16542_cov_3.43998__16542__lantipeptide__ANTISMASH__0_16542,3.85324389773,-,-,-,0.0359859496349933,NZ_CYZP01000002,Blautia obeum,Firmicutes
V1.CD22.0__NODE_939_length_34185_cov_5.62379__25189__terpene__ANTISMASH__8996_34185,1.87789593089,-,-,-,0.356672031948739,N/A,N/A,Unassigned
O2.UC43.0__NODE_3545_length_6525_cov_1.61468__6525__nrps__ANTISMASH__0_6525,3.77855999805,-,-,-,0.0516520486097306,NZ_AUJF01000023,Blautia wexlerae AGR2146,Firmicutes
O2.UC12.2__NODE_5413_length_5758_cov_1.21848__5758__terpene__ANTISMASH__0_5758,1.28719241546,-,-,-,0.684274002857647,N/A,N/A,Unassigned
V1.UC50.1__NODE_1472_length_22711_cov_3.60011__18049__lantipeptide__ANTISMASH__4662_22711,1.66462147947,-,-,-,0.684274002857647,N/A,N/A,Unassigned
V1.UC36.0__NODE_2610_length_11173_cov_5.91536__11173__nrps__ANTISMASH__0_11173,0,-,-,-,NaN,N/A,N/A,Unassigned
V1.UC45.0__NODE_645_length_29494_cov_4.36577__29494__nrps__ANTISMASH__0_29494,3.37060057745,-,-,-,0.0471505673067087,NZ_CYYC01000008,Eubacterium hallii,Firmicutes
V1.CD41.0__NODE_3181_length_12514_cov_8.09969__12514__lantipeptide__ANTISMASH__0_12514,2.95411790876,-,-,-,0.0950107248149099,N/A,N/A,Unassigned
V1.UC24.0__NODE_13_length_166603_cov_10.2427__43260__nrps__ANTISMASH__94591_137851,3.2741513788,UC,2.97638066444,0.00429184489289,0.00429184489289137,N/A,N/A,Unassigned
V1.CD18.3__NODE_1307_length_13012_cov_2.39809__6423__bacteriocin__ANTISMASH__6589_13012,2.68257861325,-,-,-,0.801731201073735,NZ_CP013939,Streptococcus thermophilus,Firmicutes
O2.UC47.0__NODE_2524_length_10961_cov_1.41161__10961__lantipeptide__ANTISMASH__0_10961,1.58824776328,-,-,-,0.563922257375829,N/A,N/A,Unassigned
O2.UC31.2__NODE_690_length_28327_cov_3.00828__28327__other__ANTISMASH__0_28327,2.64308135289,-,-,-,0.272163476922754,N/A,N/A,Unassigned
V1.CD21.0__NODE_1679_length_11028_cov_2.82293__11028__nrps__ANTISMASH__0_11028,2.37177103678,CD,2.64013133586,0.000483689450982,0.000483689450982291,N/A,N/A,Unassigned
V1.UC49.1__NODE_389_length_68955_cov_12.8028__18887__lantipeptide__ANTISMASH__0_18887,2.07697897659,-,-,-,0.563922257375829,NZ_JH594596,Odoribacter laneus YIT 12061,Bacteroidetes
V1.CD28.0__NODE_533_length_44098_cov_6.24944__37790__arylpolyene__ANTISMASH__6308_44098,2.58578848512,-,-,-,0.0237001673221264,NZ_GL945093,Bacteroides sp. 1_1_30,Bacteroidetes
O2.UC59.2__NODE_669_length_35033_cov_1.85292__22064__bacteriocin__ANTISMASH__12969_35033,3.02562671733,-,-,-,0.648403137371843,N/A,N/A,Unassigned
V1.CD41.0__NODE_2475_length_16182_cov_2.60662__16182__other__ANTISMASH__0_16182,2.53532056155,-,-,-,0.181586106396312,NZ_CZBR01000003,Ruminococcus torques,Firmicutes
V1.CD19.0__NODE_4975_length_8961_cov_11.3461__8961__lantipeptide__ANTISMASH__0_8961,3.50409626828,-,-,-,0.0182162908433394,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes
V1.UC24.0__NODE_2012_length_10989_cov_1.29129__10989__other__ANTISMASH__0_10989,2.28800838547,-,-,-,0.0673330290671222,N/A,N/A,Unassigned
V1.UC28.0__NODE_98_length_77500_cov_4.29387__33876__lantipeptide__ANTISMASH__43624_77500,2.91730491312,-,-,-,0.618990924365444,N/A,N/A,Unassigned
O2.UC18.2__NODE_5302_length_6636_cov_2.64671__6636__lantipeptide__ANTISMASH__0_6636,2.75441838198,-,-,-,0.0355073213895271,N/A,N/A,Unassigned
V1.UC46.0__NODE_462_length_44417_cov_4.28905__22240__lassopeptide__ANTISMASH__7814_30054,3.24680292294,-,-,-,0.0140917579519905,N/A,N/A,Unassigned
O2.UC9.0__NODE_1183_length_22064_cov_2.13772__22064__lantipeptide__ANTISMASH__0_22064,3.16156966508,-,-,-,0.268221571969584,NZ_PSQG01000017,Blautia obeum,Firmicutes
O2.UC51.0__NODE_1641_length_18320_cov_1.99606__18320__transatpks__ANTISMASH__0_18320,0,-,-,-,NaN,NZ_UETD01000006,Ruminococcus flavefaciens,Firmicutes
V1.UC35.4__NODE_1731_length_24876_cov_6.58446__24876__lantipeptide__ANTISMASH__0_24876,3.09424553395,-,-,-,0.951015872192027,NZ_MNLB01000007,Bifidobacterium pseudocatenulatum,Actinobacteria
O2.UC27.0__NODE_272_length_64235_cov_5.29347__34842__other__ANTISMASH__29393_64235,3.21357696356,UC,2.87891955742,0.00041377398291,0.000413773982909656,NZ_CVRS01000048,Roseburia inulinivorans,Firmicutes
O2.UC23.2__NODE_1942_length_13149_cov_32.0403__13149__resorcinol__ANTISMASH__0_13149,4.23378964018,-,-,-,0.267724416129023,NZ_NFKD01000005,Bacteroides sp. An19,Bacteroidetes
V1.CD7.4__NODE_1309_length_19842_cov_3.23566__6653__bacteriocin__ANTISMASH__13189_19842,2.91456174996,-,-,-,0.733188942476523,NZ_CP016439,Streptococcus thermophilus,Firmicutes
V1.CD35.0__NODE_1123_length_12656_cov_1.70217__11950__bacteriocin__ANTISMASH__706_12656,2.9288266318,-,-,-,0.592774055242946,NZ_CP015283,Streptococcus salivarius,Firmicutes
V1.CD29.0__NODE_3645_length_9432_cov_2.886__9432__other__ANTISMASH__0_9432,2.43048821496,-,-,-,0.0402392946666523,N/A,N/A,Unassigned
V1.UC26.4__NODE_3735_length_10764_cov_5.7631__10764__lantipeptide__ANTISMASH__0_10764,1.63577723468,-,-,-,0.684274002857647,N/A,N/A,Unassigned
V1.UC31.4__NODE_4370_length_7836_cov_7.81802__7836__arylpolyene__ANTISMASH__0_7836,3.10641991177,UC,2.74205787243,0.00182009998085,0.00182009998084976,NZ_AAVN02000004,Collinsella aerofaciens ATCC 25986,Actinobacteria
O2.UC30.2__NODE_4424_length_7366_cov_1.86048__7366__bacteriocin__ANTISMASH__0_7366,3.00369557086,-,-,-,0.0254640726496137,N/A,N/A,Unassigned
V1.UC43.0__NODE_6891_length_6672_cov_1.54556__6672__other__ANTISMASH__0_6672,3.62613484664,-,-,-,0.235402358642896,N/A,N/A,Unassigned
